City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,tura,25.5198,90.2201,299.19,91,99,0.62,IN,1693844686
110,ulladulla,-35.35,150.4667,287.34,74,80,2.7,AU,1693844687
111,namibe,-15.1961,12.1522,292.93,80,18,4.73,AO,1693844688
112,singaparna,-7.3515,108.111,292.99,93,100,1.33,ID,1693844688
113,westport,41.1415,-73.3579,304.81,67,0,3.6,US,1693844614
114,udachny,66.4167,112.4,275.07,93,99,1.58,RU,1693844660
115,chinde,26.8418,88.0763,292.69,84,100,2.49,NP,1693844689
116,san luis,-33.295,-66.3356,286.55,49,52,7.86,AR,1693844690
117,riacho de santana,-13.6092,-42.9389,307.14,28,4,0.43,BR,1693844690
118,kruisfontein,-34.0033,24.7314,288.64,79,83,2.57,ZA,1693844691
119,georgetown,5.4112,100.3354,299.83,97,20,2.06,MY,1693844465
120,polyarnyy,69.1989,33.4478,285.4,88,100,9.15,RU,1693844691
121,bredasdorp,-34.5322,20.0403,284.48,60,96,3.12,ZA,1693844692
122,alofi,-19.0595,-169.9187,290.09,100,20,1.03,NU,1693844692
123,camacupa,-12.0167,17.4833,304.57,8,1,1.21,AO,1693844693
124,ballina,-28.8667,153.5667,290.36,83,9,3.85,AU,1693844694
125,codrington,-38.2667,141.9667,279.25,79,60,5.23,AU,1693844694
126,lauro de freitas,-12.8944,-38.3272,300.16,83,75,4.12,BR,1693844490
127,rockwood,35.8656,-84.6849,303.46,69,0,2.06,US,1693844695
